utility,count
PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),55634
PUGET SOUND ENERGY INC,29865
CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),27268
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),8643
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,6622
PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,3443
BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,2244
BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,1341
PACIFICORP,1102
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,1048
